songID,songname,singer,xiami_songname,xiami_singer,xiami_songID,songName,songType,singerID,singer.1,leftChannel,rightChannel,volume,firstLetter,languageCode,hot,clickTime,firstLetterLength,songScore,languageIntl,videoType,addDate,clickNum,label
7019464,朋友,周华健,朋友,周华健,375867,朋友,"经典老歌,友谊万岁",115270,"周华健,港台男歌星",1,2,6,PY,0,247.0,247,2.0,1,国语,演唱会,2016-10-13,260,经典  怀旧 老歌 华语 友情
7409832,因为爱情,陈奕迅 王菲,因为爱情,陈奕迅,1769962750,因为爱情,"影视金曲,男女对唱",102141;110722,"陈奕迅,港台男歌星,王菲,港台女歌星",1,2,6,YWAQ,0,100.0,100,4.0,1,国语,演唱会,2016-10-13,101,好听
6006438,你是我的眼,林宥嘉,你是我的眼,林宥嘉,1771877052,你是我的眼,经典翻唱,107093,"林宥嘉,港台男歌星",1,2,6,NSWDY,0,152.0,152,5.0,1,国语,演唱会,2016-10-13,154,好听 经典 华语 深情 流行 男声
7013785,大海,张雨生,大海,张雨生,378046,大海,经典老歌,114684,"张雨生,港台男歌星",1,2,6,DH,0,225.0,225,2.0,1,国语,演唱会,2016-10-13,241,经典  怀旧 永恒经典 华语 经典
7408647,老男孩,筷子兄弟,老男孩,筷子兄弟,1769845026,老男孩,网络歌曲,105650,"筷子兄弟,中国组合",1,2,6,LNH,0,198.0,198,3.0,1,国语,演唱会,2016-10-13,198,感动 青春 梦想
7041122,新贵妃醉酒,李玉刚,新贵妃醉酒,李玉刚,1769951985,新贵妃醉酒,"经典老歌,友谊万岁",106564,"李玉刚,大陆男歌星",1,2,6,XGFZJ,0,235.0,235,5.0,1,国语,演唱会,2016-10-13,242,中国风 古风 戏曲 好听 好听
7300358,突然的自我,伍佰,突然的自我,伍佰 & China Blue,59046,突然的自我,经典老歌,111741,"伍佰,港台男歌星",1,2,6,TRDZW,0,193.0,193,5.0,1,国语,演唱会,2016-10-13,205,经典 华语 永恒的经典 好听 摇滚
7402640,没那么简单,黄小琥,没那么简单,黄小琥,1769274193,没那么简单,经典老歌,104855,"黄小琥,港台女歌星",1,2,6,MNMJD,0,211.0,211,5.0,1,国语,演唱会,2016-10-13,214,词很深刻 好听 舒服 心情
7402766,最炫民族风,凤凰传奇,最炫民族风,凤凰传奇,1768925136,最炫民族风,经典老歌,103264,"凤凰传奇,中国组合",1,2,7,ZXMZF,0,223.0,223,5.0,1,国语,演唱会,2016-10-13,229,悠悠.... 中国风 华语 劲爆 好听 民族风
7401487,我的好兄弟,小沈阳 高进,我的好兄弟,小沈阳,1769549569,我的好兄弟,"经典老歌,友谊万岁",112125;103395,"小沈阳,大陆男歌星,高进,大陆男歌星",1,2,7,WDHXD,0,273.0,273,5.0,1,国语,演唱会,2016-10-13,274,兄弟 友谊  青春与奋斗 好听
